experiment,hour,date_of_week,date_of_month,month,device_make
1,21,2,8,7,12
0,15,4,3,7,44
1,12,3,9,7,12
1,8,0,6,7,12
1,4,4,3,7,12
1,7,2,8,7,45
0,15,4,10,7,40
0,15,4,3,7,12
1,20,2,8,7,76
0,18,2,8,7,71
1,10,4,3,7,70
1,3,5,4,7,24
0,15,4,3,7,12
1,10,6,5,7,12
0,3,0,6,7,40
0,21,2,8,7,45
1,7,4,10,7,12
0,15,4,3,7,12
0,15,4,3,7,1
0,3,2,8,7,49
1,8,4,3,7,42
0,15,4,3,7,12
1,13,2,8,7,41
0,19,4,3,7,108
1,8,3,9,7,12
1,16,2,8,7,12
1,2,0,6,7,12
1,19,3,9,7,13
1,14,6,5,7,19
0,15,4,3,7,12
1,11,1,7,7,12
1,0,4,10,7,12
1,11,5,4,7,12
1,15,2,8,7,37
0,11,5,4,7,12
1,19,1,7,7,65
1,17,5,4,7,70
0,16,2,8,7,12
0,15,4,3,7,12
1,8,3,9,7,33
1,12,5,4,7,65
1,14,2,8,7,12
1,11,4,3,7,12
1,20,2,8,7,12
1,15,2,8,7,12
0,15,4,3,7,12
1,19,2,8,7,12
1,8,4,3,7,82
0,15,5,4,7,69
1,2,1,7,7,69
0,12,4,10,7,49
1,17,2,8,7,12
0,16,2,8,7,45
0,12,3,9,7,12
0,15,4,3,7,12
1,4,6,5,7,12
1,13,1,7,7,41
1,20,3,9,7,12
0,12,4,10,7,19
0,4,0,6,7,12
0,12,3,9,7,12
1,8,3,9,7,12
0,15,4,3,7,73
1,9,4,3,7,0
0,17,1,7,7,108
0,9,4,10,7,63
1,13,1,7,7,12
0,21,2,8,7,12
1,7,5,4,7,12
0,2,5,4,7,12
0,12,4,10,7,1
1,13,6,5,7,66
0,1,0,6,7,21
0,6,5,4,7,12
1,18,2,8,7,12
1,9,4,3,7,12
0,8,3,9,7,12
1,10,4,3,7,69
1,9,4,3,7,12
1,6,4,3,7,25
1,15,6,5,7,12
1,7,4,3,7,12
0,15,4,3,7,12
0,18,2,8,7,12
1,3,2,8,7,12
0,15,4,3,7,46
1,12,4,10,7,12
1,10,3,9,7,12
1,14,3,9,7,12
0,15,4,3,7,101
1,8,4,3,7,59
0,15,2,8,7,45
1,20,2,8,7,12
1,4,0,6,7,12
0,4,6,5,7,12
0,15,4,3,7,12
1,11,5,4,7,51
1,7,5,4,7,12
0,7,0,6,7,25
0,1,0,6,7,108
0,15,4,3,7,49
1,0,6,5,7,12
1,18,2,8,7,63
1,19,6,5,7,12
0,15,4,3,7,12
0,15,4,3,7,12
1,20,2,8,7,12
0,8,0,6,7,12
0,14,3,9,7,12
1,17,5,4,7,12
0,15,4,3,7,12
1,1,4,10,7,12
0,15,4,3,7,12
1,5,2,8,7,108
1,2,4,10,7,63
0,15,4,3,7,12
1,0,3,9,7,43
1,7,0,6,7,65
1,9,4,3,7,12
0,1,3,9,7,12
1,8,3,9,7,12
1,22,2,8,7,12
1,6,5,4,7,4
0,19,5,4,7,12
0,7,3,9,7,76
1,22,3,9,7,12
1,18,2,8,7,20
0,8,0,6,7,49
1,7,6,5,7,12
1,9,0,6,7,12
1,19,2,8,7,65
1,14,1,7,7,44
1,18,3,9,7,12
0,11,5,4,7,12
0,4,0,6,7,12
0,4,1,7,7,12
0,5,3,9,7,65
1,9,5,4,7,12
0,18,2,8,7,12
1,5,1,7,7,12
1,8,4,3,7,57
1,3,0,6,7,12
0,15,4,3,7,63
0,8,4,10,7,52
0,9,3,9,7,12
1,7,2,8,7,92
0,19,2,8,7,12
0,15,4,3,7,12
1,20,3,9,7,2
0,0,3,9,7,46
0,19,1,7,7,12
1,16,2,8,7,12
